? Hugging Face token is set.
wandb token is set
This is the LORA Path : /hkfs/work/workspace/scratch/st_st191428-LiverLLM/Liver LLM/llama3_medical_finetuned/checkpoint_7000
{'loss': 0.5981, 'grad_norm': 0.0, 'learning_rate': 0.00019988903273534308, 'num_tokens': 81920.0, 'mean_token_accuracy': 0.2026062324643135, 'epoch': 0.0}
{'loss': 0.6379, 'grad_norm': 0.0, 'learning_rate': 0.00019976573577461316, 'num_tokens': 163840.0, 'mean_token_accuracy': 0.20738328360021113, 'epoch': 0.0}
{'loss': 0.6931, 'grad_norm': 0.0, 'learning_rate': 0.00019964243881388324, 'num_tokens': 245760.0, 'mean_token_accuracy': 0.230099668353796, 'epoch': 0.01}
{'loss': 0.5157, 'grad_norm': 0.0, 'learning_rate': 0.00019951914185315333, 'num_tokens': 327680.0, 'mean_token_accuracy': 0.17064786925911904, 'epoch': 0.01}
{'loss': 0.6332, 'grad_norm': 0.0, 'learning_rate': 0.0001993958448924234, 'num_tokens': 409600.0, 'mean_token_accuracy': 0.19350518770515918, 'epoch': 0.01}
{'loss': 0.4812, 'grad_norm': 0.0, 'learning_rate': 0.0001992725479316935, 'num_tokens': 491520.0, 'mean_token_accuracy': 0.17405648194253445, 'epoch': 0.01}
{'loss': 0.5474, 'grad_norm': 0.0, 'learning_rate': 0.00019914925097096358, 'num_tokens': 573440.0, 'mean_token_accuracy': 0.17469013370573522, 'epoch': 0.01}
{'loss': 0.6056, 'grad_norm': 0.0, 'learning_rate': 0.00019902595401023366, 'num_tokens': 655360.0, 'mean_token_accuracy': 0.19585542865097522, 'epoch': 0.01}
{'loss': 0.5836, 'grad_norm': 0.0, 'learning_rate': 0.00019890265704950374, 'num_tokens': 737280.0, 'mean_token_accuracy': 0.18770772777497768, 'epoch': 0.02}
{'loss': 0.5945, 'grad_norm': 0.0, 'learning_rate': 0.00019877936008877382, 'num_tokens': 819200.0, 'mean_token_accuracy': 0.21614822521805763, 'epoch': 0.02}
{'loss': 0.5322, 'grad_norm': 0.0, 'learning_rate': 0.0001986560631280439, 'num_tokens': 901120.0, 'mean_token_accuracy': 0.1770161036401987, 'epoch': 0.02}
